1-1-1,90
1-1-2,82
1-1-3,81
1-1-4,77
1-1-5,70
1-1-6,62
1-1-7,28
1-1-8,96
1-1-9,85
1-1-10,46
1-1-11,46
1-1-12,46
1-1-13,39
1-1-14,36
1-1-15,35
1-1-16,26
1-1-17,63
1-1-18,63
1-1-19,64
1-1-20,75
1-1-21,64
1-1-22,46
1-1-23,51
1-1-24,62
1-1-25,59
1-1-26,52
1-1-27,66
1-1-28,89
1-1-29,86
1-1-30,76
1-1-31,78
1-1-32,41
1-1-33,37
1-1-34,36
1-1-35,35
1-1-36,29
1-1-37,18
1-1-38,21
2-1-1,79
2-1-2,95
2-1-3,88
2-1-4,75
2-1-5,56
2-1-6,57
2-1-7,42
2-1-8,82
2-1-9,87
2-1-10,86
2-1-11,83
2-1-12,66
2-1-13,38
2-1-14,35
2-1-15,27
2-1-16,20
2-1-17,72
2-1-18,76
2-1-19,52
2-1-20,48
2-1-21,46
2-1-22,79
2-1-23,73
2-1-24,47
2-1-25,32
2-1-26,47
2-1-27,59
2-1-28,94
2-1-29,88
2-1-30,80
2-1-31,82
2-1-32,76
2-1-33,42
2-1-34,36
2-1-35,23
2-1-36,26
2-1-37,27
2-1-38,20
3-3-1,93
3-3-2,91
3-3-3,79
3-3-4,69
3-3-5,68
3-3-6,54
3-3-7,58
3-3-8,90
3-3-9,70
3-3-10,49
3-3-11,46
3-3-12,36
3-3-13,34
3-3-14,28
3-3-15,31
3-3-16,53
3-3-17,26
3-3-18,76
3-3-19,50
3-3-20,56
3-3-21,58
3-3-22,70
3-3-23,70
3-3-24,84
3-3-25,66
3-3-26,40
3-3-27,85
3-3-28,87
3-3-29,79
3-3-30,78
3-3-31,70
3-3-32,54
3-3-33,32
3-3-34,33
3-3-35,24
3-3-36,22
3-3-37,22
4-1-1,96
4-1-2,89
4-1-3,60
4-1-4,51
4-1-5,39
4-1-6,39
4-1-7,28
4-1-8,84
4-1-9,61
4-1-10,64
4-1-11,65
4-1-12,49
4-1-13,36
4-1-14,29
4-1-15,35
4-1-16,22
4-1-17,70
4-1-18,57
4-1-19,82
4-1-20,58
4-1-21,56
4-1-22,40
4-1-23,63
4-1-24,53
4-1-25,50
4-1-26,46
4-1-27,63
4-1-28,90
4-1-29,84
4-1-30,80
4-1-31,74
4-1-32,75
4-1-33,54
4-1-34,35
4-1-35,37
4-1-36,39
4-1-37,33
4-1-38,23
5-2-1,89
5-2-2,75
5-2-3,76
5-2-4,69
5-2-5,75
5-2-6,41
5-2-7,10
5-2-8,83
5-2-9,70
5-2-10,71
5-2-11,56
5-2-12,67
5-2-13,61
5-2-14,38
5-2-15,29
5-2-16,29
5-2-17,73
5-2-18,55
5-2-19,60
5-2-20,43
5-2-21,18
5-2-22,64
5-2-23,56
5-2-24,58
5-2-25,37
5-2-26,75
5-2-27,55
5-2-28,90
5-2-29,88
5-2-30,76
5-2-31,42
5-2-32,46
5-2-33,47
5-2-34,40
5-2-35,25
5-2-36,27
5-2-37,24
5-2-38,21
6-1-1,82
6-1-2,59
6-1-3,54
6-1-4,56
6-1-5,52
6-1-6,32
6-1-7,29
6-1-8,90
6-1-9,84
6-1-10,40
6-1-11,80
6-1-12,53
6-1-13,47
6-1-14,35
6-1-15,27
6-1-16,16
6-1-17,55
6-1-18,35
6-1-19,63
6-1-20,67
6-1-21,54
6-1-22,58
6-1-23,59
6-1-24,62
6-1-25,55
6-1-26,65
6-1-27,33
6-1-28,91
6-1-29,84
6-1-30,84
6-1-31,72
6-1-32,49
6-1-33,51
6-1-34,31
6-1-35,40
6-1-36,29
6-1-37,24
6-1-38,23
7-1-1,63
7-1-2,68
7-1-3,67
7-1-4,62
7-1-5,58
7-1-6,57
7-1-7,51
7-1-8,90
7-1-9,91
7-1-10,80
7-1-11,45
7-1-12,32
7-1-13,46
7-1-14,36
7-1-15,40
7-1-16,21
7-1-17,54
7-1-18,52
7-1-19,62
7-1-20,74
7-1-21,66
7-1-22,72
7-1-23,49
7-1-24,30
7-1-25,39
7-1-26,44
7-1-27,35
7-1-28,84
7-1-29,77
7-1-30,82
7-1-31,82
7-1-32,74
7-1-33,52
7-1-34,45
7-1-35,36
7-1-36,27
7-1-37,21
7-1-38,33
8-1-1,94
8-1-2,94
8-1-3,71
8-1-4,64
8-1-5,55
8-1-6,43
8-1-7,53
8-1-8,90
8-1-9,79
8-1-10,69
8-1-11,59
8-1-12,44
8-1-13,41
8-1-14,31
8-1-15,27
8-1-16,27
8-1-17,92
8-1-18,53
8-1-19,34
8-1-20,84
8-1-21,58
8-1-22,68
8-1-23,81
8-1-24,59
8-1-25,49
8-1-26,34
8-1-27,23
8-1-28,87
8-1-29,84
8-1-30,60
8-1-31,75
8-1-32,76
8-1-33,58
8-1-34,37
8-1-35,45
8-1-36,37
8-1-37,26
8-1-38,20
9-2-1,85
9-2-2,71
9-2-3,74
9-2-4,59
9-2-5,51
9-2-6,40
9-2-7,37
9-2-8,B3
9-2-9,87
9-2-10,54
9-2-11,58
9-2-12,42
9-2-13,35
9-2-14,44
9-2-15,28
9-2-16,11
9-2-17,64
9-2-18,84
9-2-19,79
9-2-20,90
9-2-21,74
9-2-22,38
9-2-23,53
9-2-24,47
9-2-25,57
9-2-26,49
9-2-27,67
9-2-28,77
9-2-29,78
9-2-30,79
9-2-31,73
9-2-32,56
9-2-33,38
9-2-34,33
9-2-35,35
9-2-36,34
9-2-37,22
9-2-38,29
10-1-1,94
10-1-2,88
10-1-3,82
10-1-4,80
10-1-5,71
10-1-6,59
10-1-7,38
10-1-8,88
